"filename", "language", "Python", "JavaScript", "Batch", "CSS", "JSON", "Less", "SCSS", "XML", "Django HTML", "Django txt", "comment", "blank", "total"
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.rtl.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.bundle.js", "JavaScript", 0, 5047, 0, 0, 0, 0, 0, 0, 0, 0, 535, 1494, 7076
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.esm.js", "JavaScript", 0, 3550, 0, 0, 0, 0, 0, 0, 0, 0, 458, 1195, 5203
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.esm.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.js", "JavaScript", 0, 3587, 0, 0, 0, 0, 0, 0, 0, 0, 464, 1199, 5250
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/js/bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.css", "CSS", 0, 0, 0, 470, 0, 0, 0, 0, 0, 0, 6, 1, 477
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.standalone.css", "CSS", 0, 0, 0, 503, 0, 0, 0, 0, 0, 0, 6, 1, 510
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker.standalone.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.css", "CSS", 0, 0, 0, 676, 0, 0, 0, 0, 0, 0, 6, 1, 683
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.standalone.css", "CSS", 0, 0, 0, 705, 0, 0, 0, 0, 0, 0, 6, 1, 712
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/css/bootstrap-datepicker3.standalone.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/js/bootstrap-datepicker.js", "JavaScript", 0, 1770, 0, 0, 0, 0, 0, 0, 0, 0, 90, 180, 2040
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/js/bootstrap-datepicker.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 8
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker-en-CA.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ar-tn.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ar.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.az.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bg.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bm.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bn.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.br.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.bs.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ca.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.cs.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.cy.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.da.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
